date,temperature_max,temperature_avg,temperature_min,wind_speed_max,wind_speed_avg,wind_speed_min
11/2/2022,67,61,58,33,11.2,0
11/8/2022,66,58.9,54,31,13.4,0
1/10/2023,62,58.8,55,31,13.2,0
1/16/2023,58,54,50,30,17.5,0
2/14/2023,59,54.7,49,30,13,5
2/21/2023,62,56,51,41,13.5,0
2/22/2023,56,51.2,48,35,26.1,17
2/23/2023,52,47.6,41,36,9.2,0
3/1/2023,55,51.8,49,35,18.9,5
4/3/2023,61,56.1,53,31,13.4,3
11/19/2023,71,64.5,60,28,9.2,0
1/7/2024,58,53.3,49,31,15.9,3
1/11/2024,63,55.7,52,29,11.6,0
3/23/2024,62,57.8,54,33,15.6,3
3/24/2024,61,55.6,50,32,12.7,3
4/5/2024,58,51.3,46,33,13.7,0
4/26/2024,66,59.5,56,31,10.6,0
5/5/2024,65,59.6,53,31,15.2,5
11/15/2024,62,57.6,54,29,12.4,0
1/7/2025,72,61.6,50,29,13.3,0
