"guid","Size","Containment","DateTime","Structures Threatened","Structures Destroyed","Civilian Injuries","Civilian Fatalities","Structures Damaged","Firefighter Injuries"
"f9f8ab8c-c828-4aa8-a69d-0ea5c1267487","20,438","8%","2025-01-10T11:26","11,471","","3","2","",""
"7fe75226-8766-45a1-bdcf-066fa457185c","20,438","8%","2025-01-10T11:47","11,471","","3","2","",""
"5e742794-b116-4c4a-8c27-7d3de040d046","20,438","8%","2025-01-10T12:08","11,471","","3","3","",""
"bd3b6b35-0b27-4d60-99f7-e710c863fa23","20,438","8%","2025-01-10T13:08","11,471","","3","3","",""
"da81f4d8-3e2e-4c97-a29a-afb34f11bea5","20,438","8%","2025-01-10T13:16","11,471","","3","3","",""
"d5da79bf-29f0-41e4-9dbc-564542de86ac","21,317","8%","2025-01-10T14:33","11,471","","3","3","",""
"1c43e9e6-b138-42f3-8b9b-cde143c61fe5","21,317","8%","2025-01-10T15:37","11,471","","3","3","",""
"aa58f54a-25c3-4944-b5ef-69e3fec02ac8","21,317","8%","2025-01-10T17:22","11,471","","3","3","",""
"70760279-096e-4b0f-8a33-6eb0d759a430","21,317","8%","2025-01-10T17:24","11,471","","3","3","",""
"ba90fbd0-d0d1-4665-9719-00c8436acb3b","21,317","8%","2025-01-10T17:34","11,471","","3","3","",""
"b9e77dfb-a2e8-4637-8009-95d1c5d4176b","21,317","8%","2025-01-10T17:38","11,471","","3","3","",""
"6c78e8df-669e-4a25-b609-b6ec2748db98","21,317","8%","2025-01-10T18:42","12,250","","3","3","",""
"a32adbdb-42fb-4c58-8d95-c53b8b36d39d","21,317","8%","2025-01-10T18:47","12,250","","3","3","",""
"40e61f50-9dc5-4887-9ad3-58712a00b140","21,317","8%","2025-01-10T19:23","12,250","","3","3","",""
"87c9519f-dbb7-4066-81ba-566cd11fa60b","21,317","8%","2025-01-10T19:35","12,250","","3","2","",""
"08443a75-b979-47c5-8ba2-29ffb10c3e35","21,317","8%","2025-01-10T19:37","12,250","","3","2","",""
"bce96034-2215-4f43-8b39-a468a6e86490","21,317","8%","2025-01-10T19:42","12,250","","3","2","",""
"b951e48c-1f2b-4031-82d1-a041e626ae08","21,317","8%","2025-01-10T20:14","12,250","","3","2","",""
"6ae0d671-0026-4a79-9e3f-a6e5d9a281f5","21,317","8%","2025-01-10T20:29","12,250","","3","2","",""
"5866a8bf-7bc6-4dc6-8602-306a788b9a4f","21,317","8%","2025-01-10T21:58","12,250","","3","2","",""
"30608d23-736b-48f9-b0f5-4055e212abf3","21,317","8%","2025-01-10T22:18","12,250","","3","2","",""
"c1a8570d-45de-4e14-aa62-1e43bede8c43","21,317","8%","2025-01-10T22:20","12,250","","3","2","",""
"c6792ec2-2041-4e7d-a0e4-18764a60406f","21,317","8%","2025-01-10T22:31","12,250","","3","2","",""
"4090a1de-5459-4725-ab9d-f24c07a80de0","21,317","8%","2025-01-11T00:38","12,250","","3","2","",""
"84555f70-08b6-45c5-a526-ed0f86980d25","21,317","8%","2025-01-11T00:53","12,250","","3","2","",""
"ea14c0a7-9f79-47dc-9068-3eed41767c44","21,317","8%","2025-01-11T01:02","12,250","","3","2","",""
"69175528-2705-48d8-9488-781bcc65060a","21,317","8%","2025-01-11T01:04","12,250","","3","2","",""
"692632f1-d814-466c-924c-5d4dd447a3b5","21,595","11%","2025-01-11T06:24","12,250","","3","2","",""
"6e456fba-ff53-4e1c-9d4d-401a165b1a02","21,596","11%","2025-01-11T06:28","12,250","","3","2","",""
"048a8159-ff34-4947-9d2a-ecbda25cc735","21,596","11%","2025-01-11T07:20","12,250","","3","2","",""
"cb2bc9cc-901b-4d41-80c7-57386c7b2ce8","21,596","11%","2025-01-11T07:22","12,250","","3","2","",""
"a6ed2094-9286-48d2-8a53-16b19a6d564f","21,596","11%","2025-01-11T07:52","12,250","","3","2","",""
"3445b48a-6d3e-4985-81a4-493130258b7b","21,596","11%","2025-01-11T08:46","12,250","","3","2","",""
"c9204d54-4a92-4906-b18a-c97e1ede62f4","21,596","11%","2025-01-11T09:21","12,250","","3","2","",""
"cda3def5-b280-4190-af9f-fccc43374087","22,660","11%","2025-01-11T09:39","12,250","","3","2","",""
"6c651b59-d0c0-4b7f-ac2e-8640be948498","22,660","11%","2025-01-11T11:04","12,250","","3","2","",""
"f23c37f7-d392-4ae5-9360-20bc9a27fb7d","22,660","11%","2025-01-11T12:50","12,250","","3","2","",""
"57893ac3-f7d7-4dbd-9692-191c319d17d6","22,660","11%","2025-01-11T13:02","12,250","","3","2","",""
"08ef131e-878c-42b7-ba90-0aaa0bb78249","22,660","11%","2025-01-11T13:20","12,250","","3","2","",""
"89098978-66a9-452b-b20c-5f186a255a45","22,660","11%","2025-01-11T15:38","12,250","","3","2","",""
"dce9178c-9419-4005-a61e-49281b54c945","23,654","11%","2025-01-11T16:37","12,250","","3","2","",""
"ff576db0-cac7-44e9-9472-0a27ab8c25de","23,654","11%","2025-01-11T18:16","12,250","","3","2","",""
"1612754d-8d87-43b7-a4af-17a45b4b0600","23,654","11%","2025-01-11T20:13","12,250","","3","2","",""
"585ace89-d4d7-4815-9e63-bfd1e61a88d8","23,654","11%","2025-01-11T21:25","12,250","513","3","2","63",""
"ebb217f4-f113-4bd0-b46e-5425acd480fd","23,654","11%","2025-01-11T21:27","12,250","513","3","2","63",""
"d28cf1c7-0b27-4f2a-a8b7-e675fabd8974","23,654","11%","2025-01-11T21:28","12,250","513","3","2","63",""
"922f96bf-0351-4446-aa6d-4176d0f568fb","23,654","11%","2025-01-11T21:31","12,250","513","3","2","63",""
"42d66ab9-f0a3-44bc-9f7f-aaa496ef5c54","23,654","11%","2025-01-11T21:40","12,250","513","3","2","63",""
"62ef4e6a-7ce6-4abf-a3a3-e5e7a1f52e31","23,654","11%","2025-01-11T21:46","12,250","513","3","2","63",""
"6b2d55ee-73ce-4803-87e8-70af983c3b12","23,654","11%","2025-01-11T21:56","12,250","513","3","2","63",""
"815728b3-4e11-4006-bbf5-b2748080cf81","23,654","11%","2025-01-11T21:57","12,250","513","3","2","63",""
"45e9972b-471f-4db3-9b5a-0f18ab72ffd3","23,654","11%","2025-01-12T06:02","12,250","513","3","2","63",""
"67c8bdca-dea7-451d-95a7-36c265110f4d","23,707","11%","2025-01-12T06:33","12,250","604","3","2","83",""
"7860cebf-e7cf-4b75-a3f3-917f09a9df78","23,707","11%","2025-01-12T10:01","12,250","604","3","2","83",""
"7dd51bc9-f5e2-4a93-a09d-e1e5b9067200","23,707","11%","2025-01-12T10:04","12,250","604","3","2","83",""
"fa6fedad-06ea-4e2d-adf9-dfd7f3817c4d","23,707","11%","2025-01-12T10:05","12,250","604","3","2","83",""
"beefaf08-d02b-40d5-be0f-5585f8fe0cda","23,706","11%","2025-01-12T10:54","12,250","604","3","2","83",""
"6bf0fdb2-90bb-4b7a-88ca-e5db5fee9c02","23,706","11%","2025-01-12T11:07","12,250","604","3","5","83",""
"fcb41c24-7af7-493d-bd40-45bd23fb5f11","23,713","11%","2025-01-12T11:13","12,250","604","3","5","83",""
"0df76d0f-10a4-4169-8c75-23ec116020fd","23,713","11%","2025-01-12T11:54","12,250","604","3","2","83",""
"f206eb3d-1707-41d3-878d-1ae10715e5b1","23,713","11%","2025-01-12T14:44","12,250","604","3","2","83",""
"614f18d0-1396-49e8-a5b5-712f92a0059e","23,713","11%","2025-01-12T16:29","12,250","604","3","2","83",""
"bff72032-3d46-4f22-8180-b620f9ca082a","23,713","11%","2025-01-12T16:31","12,250","604","3","2","83",""
"bdbdd695-fd01-433f-ae52-ba31298ced34","23,713","13%","2025-01-12T18:54","12,250","1,105","3","2","179",""
"d70372a8-a99b-47a2-ac58-ef5bea001eca","23,713","13%","2025-01-12T18:55","12,250","1,105","3","2","179",""
"411721a4-f1d0-48ed-975a-229898c77ae9","23,713","13%","2025-01-12T18:57","12,250","1,105","3","2","179",""
"16ac1355-a544-4af2-b197-631b50ed3149","23,713","14%","2025-01-13T06:00","12,250","1,105","3","2","179",""
"7bdd5679-cecf-4090-b392-f911ff768ac0","23,713","14%","2025-01-13T06:35","12,250","1,105","3","2","179",""
"d426f279-239d-4151-967c-0342fa13912e","23,713","14%","2025-01-13T07:05","12,250","1,280","3","2","204",""
"e05a52b1-3bcf-4244-b391-80d139859a60","23,654","11%","2025-01-13T08:20","12,250","513","3","2","63",""
"05506337-cc26-4a1c-9b58-f000cea06408","23,654","14%","2025-01-13T08:28","12,250","513","3","2","63",""
"4910f1b0-2aa9-44f9-8a7f-39ea1b957745","23,654","14%","2025-01-13T08:30","12,250","513","3","2","63",""
"25abbe52-f080-442a-8001-e83b5fd435f0","23,713","14%","2025-01-13T08:43","12,250","1,280","3","2","204",""
"ec336b91-9127-4f3a-b6d1-672a7d04168f","23,713","14%","2025-01-13T09:34","12,250","1,280","3","8","204",""
"ee7af1fe-bb3a-4a4c-b2e2-7db47f133761","23,713","14%","2025-01-13T11:10","12,250","1,280","3","8","204",""
"37a6873b-06f3-416a-8519-23af2f9fc0dd","23,713","14%","2025-01-13T13:37","12,250","1,280","3","8","204",""
"46999bcb-2571-4045-aaf9-655f7de863d9","23,713","14%","2025-01-13T13:59","12,250","1,280","3","8","204",""
"04b57d53-ced2-4ef3-966a-bcf6b6228d4e","23,713","14%","2025-01-13T14:00","12,250","1,280","3","8","204",""
"f5e08f80-3cad-46e8-b493-21180bd79d95","23,713","14%","2025-01-13T16:31","12,250","1,280","3","8","204",""
"5e2cbdc7-3590-4170-8afb-3661f7f71334","23,713","14%","2025-01-13T17:00","12,250","1,280","3","8","204",""
"be828b8f-9bdf-41c1-af7b-800a71f2e33a","23,713","14%","2025-01-13T17:03","12,250","1,280","3","8","204",""
"38452f51-58ec-4391-ac7b-49fac39b9501","23,713","14%","2025-01-13T17:21","12,250","1,280","3","8","204",""
"346c9a1f-fe7c-4b8a-a96d-acae730a2e08","23,713","14%","2025-01-13T18:20","12,250","1,280","3","8","204",""
"7cb90058-b367-4285-8549-bebda703b281","23,713","14%","2025-01-13T21:03","12,250","1,280","3","8","204",""
"28182fe1-290d-48ba-bb09-0551b1bbddad","23,713","14%","2025-01-13T21:06","12,250","1,280","3","8","204",""
"6edda1f2-efa2-4a6a-a82e-f54a77c6e9b8","23,713","14%","2025-01-13T21:07","12,250","1,280","3","8","204",""
"a606f970-71fe-4638-b469-643e6b67e9e3","23,713","17%","2025-01-14T05:51","12,250","1,280","3","8","204",""
"1f9c6c5d-d6b1-412e-b536-c4ae34d66e4a","23,713","17%","2025-01-14T05:56","12,250","1,280","3","8","204",""
"bbea4421-bbb1-4ffa-b22d-183dd498306c","23,713","17%","2025-01-14T06:26","12,250","1,280","3","8","204",""
"b1883d29-78ec-48ee-b6e5-8f8433a19aa1","23,713","17%","2025-01-14T06:30","12,250","1,280","3","8","204",""
"62c2133f-0afa-451b-a4e1-f903a63c0da3","23,713","17%","2025-01-14T07:39","12,250","1,280","3","8","204",""
"023f758c-1426-4bc1-b9e8-0132fc857daa","23,713","17%","2025-01-14T07:42","12,250","1,280","3","8","204",""
"e9d82979-1d8b-4e18-83d7-f838152857dd","23,713","17%","2025-01-14T08:52","12,250","1,280","3","8","204",""
"970f1352-a3ad-4e26-bc17-0d3b5a674335","23,713","17%","2025-01-14T08:55","12,250","1,280","3","8","204",""
"5dbe3539-d78b-4697-a5d5-2359b141b205","23,713","18%","2025-01-14T18:03","12,250","1,280","3","8","204",""
"86f786a4-8ecd-46af-a46f-b9133599b70e","23,713","18%","2025-01-14T18:05","12,250","2,114","3","8","382",""
"3be803c1-5464-4c71-acad-e46165ed36a0","23,713","18%","2025-01-14T18:29","12,250","2,114","3","8","382",""
"cc9bf43f-45ec-4595-a4f3-bd4029992f38","23,713","18%","2025-01-14T18:51","12,250","2,114","3","8","382",""
"22ab05f2-335e-402f-8ae8-72e49d7adb3b","23,713","18%","2025-01-14T20:53","12,250","2,114","3","8","382",""
"d776faec-6f7c-423a-823c-c17c5ad9c9a4","23,713","18%","2025-01-14T20:58","12,250","2,114","3","8","382",""
"01cbbe95-b3cd-4789-a1d1-71e72f72d158","23,713","19%","2025-01-15T06:30","12,250","2,191","3","8","397",""
"e1ff7c82-a523-40fa-97b3-c74489c1cdef","23,713","19%","2025-01-15T08:36","12,250","2,191","3","8","397",""
"199abd70-bd57-4884-a187-1cfa2552a0c8","23,713","19%","2025-01-15T11:16","12,250","2,191","3","8","397",""
"f2bd7cf2-e80c-41b4-bdd8-90cd66a95bb1","23,713","19%","2025-01-15T11:48","12,250","2,191","3","8","397",""
"49c4c871-c63b-44c2-9b82-b5b9a4fc0119","23,713","19%","2025-01-15T12:29","12,250","2,191","3","8","397",""
"591b8be0-f9af-4d15-bd78-639bcc0ed215","23,713","19%","2025-01-15T14:45","12,250","2,191","3","8","397",""
"f63dead1-62bf-48bb-996e-6646b4e70642","23,713","19%","2025-01-15T15:58","12,250","2,191","3","8","397",""
"b7d6b230-b7bf-4c50-b568-ed3f42971dde","23,713","19%","2025-01-15T16:12","12,250","2,191","3","8","397",""
"b4d59eac-ebae-4b65-8e37-137e6d6b14c1","23,713","19%","2025-01-15T17:20","12,250","2,191","3","8","397",""
"a598fa1d-ee50-4c28-b89c-234cfcf85efe","23,713","19%","2025-01-15T17:25","12,250","2,191","3","8","397",""
"70800a55-b114-4f30-bd85-476b67138012","23,713","19%","2025-01-15T17:54","12,250","2,191","3","8","397",""
"e2e41649-789b-4771-9a35-96ef04c94878","23,713","21%","2025-01-15T18:33","12,250","2,747","3","8","484",""
"26e42c96-f4ac-4c14-b459-9586030eb6a2","23,713","21%","2025-01-15T19:03","12,250","2,747","3","8","484",""
"20dea2a3-cc6d-472b-92c6-ef14004d21d4","23,713","21%","2025-01-15T19:54","12,250","2,747","3","8","484",""
"15006938-37cb-4890-bff0-e2d185207f96","23,713","21%","2025-01-15T20:03","12,250","2,747","3","8","484",""
"9688bff5-16fa-4905-bacb-167f82392dd5","23,713","21%","2025-01-15T20:05","12,250","2,747","3","8","484",""
"a7ceb7a9-d5a9-4fef-84bb-4f1e6332e22d","23,713","22%","2025-01-16T05:36","12,250","2,747","3","8","484",""
"31c99fd0-d371-44e1-9f67-93454a558315","23,713","22%","2025-01-16T06:39","12,250","2,869","3","8","508",""
"be37e05f-f8d6-4d2b-9e29-9d408070d7e2","23,713","22%","2025-01-16T06:42","12,250","2,869","3","8","508",""
"c7c6c6dd-6865-44bb-9229-f14091d441f8","23,713","22%","2025-01-16T08:07","12,250","2,869","3","8","508",""
"7b52213f-8ad2-4a57-a468-bc48ac820524","23,713","22%","2025-01-16T10:27","12,250","2,869","3","8","508",""
"c06f2976-0e35-4140-9373-65734d7f450c","23,713","22%","2025-01-16T11:16","12,250","2,869","3","8","508",""
"52218a91-2f4d-45a5-84e1-df8cdf60d9ca","23,713","22%","2025-01-16T14:02","12,250","2,869","3","8","508",""
"e2f79f66-ff72-48e5-994f-66c3d454b3e8","23,713","22%","2025-01-16T14:08","12,250","2,869","3","8","508",""
"11f7bcb9-4b1a-4e70-925d-def8cd35586d","23,713","22%","2025-01-16T14:09","12,250","2,869","3","8","508",""
"1b9fcdad-07d5-4c12-8a69-5d6a74f42eb8","23,713","22%","2025-01-16T14:13","12,250","2,869","3","8","508",""
"5827c810-6f3b-4b06-8c04-aeb72a2efc84","23,713","22%","2025-01-16T14:19","12,250","2,869","3","8","508",""
"a88f80a3-69d5-4e93-9751-18ce907d2865","23,713","22%","2025-01-16T14:29","12,250","2,869","3","8","508",""
"ea3195f1-f5eb-4db1-aa26-569a4f60e393","23,713","22%","2025-01-16T17:21","12,250","2,869","3","8","508",""
"68c12d6b-de0a-445b-801d-5be65dcc68de","23,713","22%","2025-01-16T17:23","12,250","2,869","3","8","508",""
"1a9d5252-4aa6-47a7-9f72-894a13b10a46","23,713","22%","2025-01-16T17:52","12,250","2,869","3","8","508",""
"72b2da7a-8de3-410a-951b-bbd7ae8cac3e","23,713","27%","2025-01-16T18:23","12,250","3,328","3","8","591",""
"1bde4e63-471d-484c-bbb8-9ed5aa150ffe","23,713","27%","2025-01-17T06:36","12,250","3,328","3","8","591",""
"866b33d4-b7de-4ba5-8778-7e051400bb47","23,713","31%","2025-01-17T06:43","12,250","3,501","3","8","603",""
"00f781ae-71a6-4f92-8e02-9cdc5f0cd78c","23,713","31%","2025-01-17T08:08","12,250","3,501","3","8","603",""
"08731dfa-2edb-4f3c-846c-2ff58907269f","23,713","31%","2025-01-17T08:10","12,250","3,501","3","8","603",""
