"Date","Time","Temperature","Dew Point","Humidity","Wind","Wind Speed","Wind Gust","Pressure","Condition","Precipitation"
"2025-01-15","6:53 PM","59","36","42","W","7","0","30.04","Fair","0.0"
"2025-01-15","7:53 PM","60","32","35","WNW","6","0","30.04","Fair","0.0"
"2025-01-15","8:53 PM","58","36","44","CALM","0","0","30.05","Fair","0.0"
"2025-01-15","9:53 PM","57","34","42","SSE","5","0","30.07","Fair","0.0"
"2025-01-15","10:53 PM","55","33","43","ESE","5","0","30.08","Fair","0.0"
"2025-01-15","11:53 PM","53","31","43","NNE","6","0","30.07","Fair","0.0"
"2025-01-16","12:53 AM","58","22","25","VAR","7","0","30.05","Fair","0.0"
"2025-01-16","1:53 AM","53","23","31","ENE","3","0","30.04","Fair","0.0"
"2025-01-16","2:53 AM","52","21","30","NE","3","0","30.03","Fair","0.0"
"2025-01-16","3:53 AM","51","17","26","NE","6","0","30.02","Fair","0.0"
"2025-01-16","4:53 AM","53","18","25","NE","5","0","30.02","Fair","0.0"
"2025-01-16","5:53 AM","49","17","28","CALM","0","0","30.01","Fair","0.0"
"2025-01-16","6:53 AM","50","17","27","NE","5","0","30.02","Fair","0.0"
"2025-01-16","7:53 AM","49","16","27","E","3","0","30.02","Fair","0.0"
"2025-01-16","8:53 AM","54","20","26","E","5","0","30.02","Fair","0.0"
"2025-01-16","9:53 AM","61","26","26","VAR","3","0","30.02","Fair","0.0"
"2025-01-16","10:53 AM","64","31","29","ENE","5","0","30.03","Fair","0.0"
"2025-01-16","11:53 AM","65","30","27","E","3","0","30.02","Fair","0.0"
"2025-01-16","12:53 PM","65","28","25","W","10","0","29.99","Fair","0.0"
"2025-01-16","1:53 PM","63","40","43","WSW","13","0","29.97","Partly Cloudy","0.0"
"2025-01-16","2:53 PM","62","41","46","WSW","15","0","29.96","Partly Cloudy","0.0"
"2025-01-16","3:53 PM","60","49","67","WSW","14","0","29.96","Fair","0.0"
"2025-01-16","4:53 PM","59","48","67","W","15","0","29.96","Fair","0.0"
"2025-01-16","5:53 PM","57","44","62","SW","10","0","29.97","Fair","0.0"
"2025-01-16","6:53 PM","56","44","64","SW","8","0","29.98","Fair","0.0"
"2025-01-16","7:53 PM","56","47","72","SSW","5","0","30.00","Fair","0.0"
"2025-01-16","8:53 PM","55","48","77","SSW","5","0","30.02","Fair","0.0"
"2025-01-16","9:53 PM","55","48","77","SSW","7","0","30.03","Fair","0.0"
"2025-01-16","10:53 PM","54","45","72","SE","3","0","30.04","Fair","0.0"
"2025-01-16","11:53 PM","51","34","52","ENE","6","0","30.05","Fair","0.0"
"2025-01-17","12:53 AM","53","45","74","NE","5","0","30.05","Fair","0.0"
"2025-01-17","1:53 AM","49","43","80","E","5","0","30.05","Partly Cloudy","0.0"
"2025-01-17","2:53 AM","49","44","83","ENE","5","0","30.06","Mostly Cloudy","0.0"
"2025-01-17","3:51 AM","48","43","82","E","3","0","30.06","Partly Cloudy","0.0"
"2025-01-17","3:53 AM","48","42","80","E","3","0","30.06","Partly Cloudy","0.0"
"2025-01-17","4:53 AM","48","42","80","E","6","0","30.05","Partly Cloudy","0.0"
"2025-01-17","5:53 AM","46","40","79","E","5","0","30.06","Partly Cloudy","0.0"
